#NAME	EP1910	RMT	KJB3	TJR	IB5	ALIDNA	IG7	B314	VS15G	NZC319	FB	E321	KJB23	KJB24	JW	IV	KV	EW	LW	RH	LH	GZ	RJ	LP	DS	MM	MN	BB
Bacteria;Acetothermia;Acetothermiia;bacterium enrichment culture clone 73(2013);bacterium enrichment culture clone 73(2013);bacterium enrichment culture clone 73(2013)	0	0	7	0	5	0	0	3	2	2	0	15	18	4	0	1	0	0	0	0	5	2	2	0	0	9	0	0
Bacteria;Acetothermia;Acetothermiia;uncultured bacterium;uncultured bacterium;uncultured bacterium	0	0	5	3	4	0	0	1	3	1	0	2	17	9	4	6	0	0	1	0	3	3	0	0	0	14	0	1
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae (Subgroup 1);NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Acidobacteria;Acidobacteriia;Solibacterales;Solibacteraceae (Subgroup 3);PAUC26f	0	5	3	1	7	0	1	2	1	1	2	0	6	10	2	4	4	8	0	52	0	7	2	0	2	3	0	0
Bacteria;Acidobacteria;Aminicenantia;Aminicenantales;NA;NA	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Aminicenantia;Aminicenantales;uncultured Aminicenantes bacterium;uncultured Aminicenantes bacterium	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Aminicenantia;Aminicenantales;uncultured bacterium;uncultured bacterium	1	0	68	9	23	0	2	7	0	3	3	16	33	19	7	13	0	0	5	0	3	11	4	0	0	31	3	0
Bacteria;Acidobacteria;AT-s3-28;uncultured bacterium;uncultured bacterium;uncultured bacterium	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;d142;uncultured Acidobacteria bacterium;uncultured Acidobacteria bacterium;uncultured Acidobacteria bacterium	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;d142;uncultured bacterium;uncultured bacterium;uncultured bacterium	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;d142;uncultured organism;uncultured organism;uncultured organism	0	0	0	0	0	0	0	0	0	1	0	5	0	1	6	14	0	1	0	0	3	0	2	0	0	29	0	0
Bacteria;Acidobacteria;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter	0	1	1	1	0	0	0	0	0	0	0	0	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Thermotomaculum	0	0	1	0	3	0	0	0	0	0	0	2	4	2	13	9	0	0	0	0	0	3	1	0	0	1	0	0
Bacteria;Acidobacteria;Holophagae;Subgroup 7;NA;NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;NA;NA;NA;NA	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Acidobacteria;NA;NA;uncultured bacterium;uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Acidobacteria;NA;NA;uncultured organism;uncultured organism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Acidobacteria;NA;uncultured bacterium;uncultured bacterium;uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0
Bacteria;Acidobacteria;Subgroup 17;NA;NA;NA	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup 17;uncultured Acidobacteria bacterium;uncultured Acidobacteria bacterium;uncultured Acidobacteria bacterium	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup 17;uncultured bacterium;uncultured bacterium;uncultured bacterium	0	0	2	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Acidobacteria;Subgroup 18;NA;NA;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup 18;uncultured Acidobacteria bacterium;uncultured Acidobacteria bacterium;uncultured Acidobacteria bacterium	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup 18;uncultured bacterium;uncultured bacterium;uncultured bacterium	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	4	0	0
Bacteria;Acidobacteria;Subgroup 21;NA;NA;NA	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	0	0	0	1	0	0	1	0	0	0	1	0	0
Bacteria;Acidobacteria;Subgroup 21;uncultured bacterium;uncultured bacterium;uncultured bacterium	0	4	6	3	4	0	2	0	0	4	1	14	11	4	15	9	1	0	2	0	8	16	0	0	1	23	1	0
Bacteria;Acidobacteria;Subgroup 21;uncultured organism;uncultured organism;uncultured organism	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup 22;Ambiguous_taxa;Ambiguous_taxa;Ambiguous_taxa	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup 22;NA;NA;NA	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup 22;uncultured Acidobacteria bacterium;uncultured Acidobacteria bacterium;uncultured Acidobacteria bacterium	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup 22;uncultured bacterium;uncultured bacterium;uncultured bacterium	0	1	2	2	2	0	0	0	0	1	1	0	1	2	0	0	0	0	1	0	0	2	0	0	0	2	0	2
Bacteria;Acidobacteria;Subgroup 26;NA;NA;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup 26;uncultured Acidobacteria bacterium;uncultured Acidobacteria bacterium;uncultured Acidobacteria bacterium	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Bacteria;Acidobacteria;Subgroup 26;uncultured bacterium;uncultured bacterium;uncultured bacterium	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Bacteria;Acidobacteria;Subgroup 6;NA;NA;NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup 6;uncultured bacterium;uncultured bacterium;uncultured bacterium	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup 9;NA;NA;NA	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup 9;uncultured bacterium;uncultured bacterium;uncultured bacterium	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria;Acidobacteria;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10	0	2	7	24	8	0	0	1	5	0	0	0	1	64	0	0	7	2	0	71	0	0	0	0	1	3	1	3
Bacteria;Acidobacteria;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 23	0	1	31	29	33	0	3	7	14	4	1	14	33	46	10	27	3	1	3	0	10	13	4	0	3	54	2	1
Bacteria;Acidobacteria;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;TPD-58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Actinomarinales;uncultured;Ambiguous_taxa	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Actinomarinales;uncultured;NA	3	1	1	5	3	0	0	2	0	1	0	4	2	4	0	1	0	2	2	0	0	1	0	0	0	10	1	0
Bacteria;Actinobacteria;Acidimicrobiia;Actinomarinales;uncultured;uncultured actinobacterium	3	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Bacteria;Actinobacteria;Acidimicrobiia;Actinomarinales;uncultured;uncultured bacterium	7	0	6	8	5	0	0	0	1	2	0	7	0	11	0	4	2	0	2	1	0	0	0	0	2	7	1	0
Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter	3	2	3	11	1	0	0	2	1	3	1	1	0	23	2	4	2	3	2	21	0	0	0	0	0	19	0	4
Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Microtrichaceae;IMCC26207	5	6	0	2	1	0	3	3	0	0	6	0	1	6	0	3	2	4	1	9	0	1	0	0	0	1	0	1
Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group	1	1	0	2	2	0	0	0	0	0	0	1	0	3	0	1	0	1	1	6	0	1	1	0	1	6	0	5
