Geneid	Chr	Start	End	Strand	Length	SRR6344904	SRR6344905	SRR6344906	SRR6344910	SRR6344912	SRR6344913
G372_RS0100005	NZ_ARQK01000001.1	1	996	+	996	369	384	365	221	196	132
G372_RS0100015	NZ_ARQK01000002.1	260	1138	-	879	636	1428	549	162	220	106
G372_RS13400	NZ_ARQK01000003.1	1	339	+	339	515	910	408	2702	5338	479
G372_RS0100025	NZ_ARQK01000003.1	571	915	-	345	759	626	733	474	341	504
G372_RS0100030	NZ_ARQK01000003.1	908	1216	-	309	165	148	222	127	66	109
G372_RS0100040	NZ_ARQK01000004.1	103	1815	+	1713	1674	1967	1443	1435	1614	786
G372_RS0100045	NZ_ARQK01000005.1	4	1574	-	1571	2069	2113	1824	9154	14097	1859
G372_RS0100050	NZ_ARQK01000006.1	172	714	-	543	573	617	583	805	585	501
G372_RS0100055	NZ_ARQK01000006.1	756	1727	-	972	728	715	639	1609	1289	771
G372_RS0100060	NZ_ARQK01000006.1	1753	2301	-	549	231	379	216	580	857	269
G372_RS0100065	NZ_ARQK01000007.1	68	397	+	330	1234	1100	1274	674	394	546
G372_RS0100070	NZ_ARQK01000007.1	607	948	-	342	393	446	404	296	332	219
G372_RS0100075	NZ_ARQK01000007.1	1035	1496	-	462	335	327	257	1205	1310	974
G372_RS0100080	NZ_ARQK01000007.1	1990	2631	+	642	298	274	343	235	214	119
G372_RS0100085	NZ_ARQK01000007.1	2627	2836	+	210	243	435	320	150	188	101
G372_RS13405	NZ_ARQK01000008.1	1	279	+	279	39	83	47	57	45	34
G372_RS14430	NZ_ARQK01000008.1	830	1075	-	246	273	290	361	433	246	356
G372_RS0100100	NZ_ARQK01000008.1	1035	1277	-	243	832	910	1030	816	833	609
G372_RS0100110	NZ_ARQK01000008.1	2481	3122	-	642	231	220	177	153	177	105
G372_RS0100125	NZ_ARQK01000009.1	4	199	-	196	108	203	112	130	149	86
G372_RS0100130	NZ_ARQK01000009.1	402	671	+	270	90	109	102	101	56	57
G372_RS0100135	NZ_ARQK01000009.1	736	1614	-	879	928	677	985	675	622	424
