Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_ARQK01000001.1	1	999		plus	sugar-transfer associated ATP-grasp domain-containing protein		0	protein-coding		WP_020008798.1	332	G372_RS0100005
NZ_ARQK01000002.1	257	1138		minus	integrase domain-containing protein		0	protein-coding		WP_019624939.1	293	G372_RS0100015
NZ_ARQK01000003.1	1	342		plus	uncharacterized gene		0	pseudogene				G372_RS13400
NZ_ARQK01000003.1	568	915		minus	DUF86 domain-containing protein		0	protein-coding		WP_018875235.1	115	G372_RS0100025
NZ_ARQK01000003.1	905	1216		minus	nucleotidyltransferase domain-containing protein		0	protein-coding		WP_019623740.1	103	G372_RS0100030
NZ_ARQK01000004.1	103	1818		plus	bifunctional sulfate adenylyltransferase/adenylylsulfate kinase		0	protein-coding		WP_019624431.1	571	G372_RS0100040
NZ_ARQK01000005.1	1	1574		minus	translational GTPase TypA	typA	0	protein-coding		WP_020008799.1	525	G372_RS0100045
NZ_ARQK01000006.1	169	714		minus	phosphatidylglycerophosphatase A		0	protein-coding		WP_019624824.1	181	G372_RS0100050
NZ_ARQK01000006.1	753	1727		minus	thiamine-phosphate kinase	thiL	0	protein-coding		WP_019624823.1	324	G372_RS0100055
NZ_ARQK01000006.1	1750	2301		minus	transcription antitermination factor NusB	nusB	0	protein-coding		WP_081621292.1	183	G372_RS0100060
NZ_ARQK01000007.1	68	400		plus	DUF2384 domain-containing protein		0	protein-coding		WP_019624934.1	110	G372_RS0100065
NZ_ARQK01000007.1	604	948		minus	hypothetical protein		0	protein-coding		WP_019624935.1	114	G372_RS0100070
NZ_ARQK01000007.1	1032	1496		minus	hypothetical protein		0	protein-coding		WP_019624936.1	154	G372_RS0100075
NZ_ARQK01000007.1	1990	2634		plus	ParA family partition ATPase	parA	0	protein-coding		WP_019624937.1	214	G372_RS0100080
NZ_ARQK01000007.1	2627	2839		plus	plasmid partition protein ParG		0	protein-coding		WP_019624938.1	70	G372_RS0100085
NZ_ARQK01000008.1	1	282		plus	transposase		0	protein-coding		WP_156824349.1	93	G372_RS13405
NZ_ARQK01000008.1	381	455		plus	tRNA-Val		0	tRNA				G372_RS0100095
NZ_ARQK01000008.1	827	1075		minus	type II toxin-antitoxin system HicA family toxin		0	protein-coding		WP_244263172.1	82	G372_RS14430
NZ_ARQK01000008.1	1032	1277		minus	DUF1902 domain-containing protein		0	protein-coding		WP_019624408.1	81	G372_RS0100100
NZ_ARQK01000008.1	1942	2072		minus	RtT sRNA		0	ncRNA				G372_RS13655
NZ_ARQK01000008.1	2125	2255		minus	RtT sRNA		0	ncRNA				G372_RS13660
NZ_ARQK01000008.1	2310	2399		minus	tRNA-Ser		0	tRNA				G372_RS0100105
NZ_ARQK01000008.1	2478	3122		minus	pyridoxamine 5'-phosphate oxidase	pdxH	0	protein-coding		WP_019624407.1	214	G372_RS0100110
NZ_ARQK01000009.1	1	199		minus	MbcA/ParS/Xre antitoxin family protein		0	protein-coding		WP_026372262.1	66	G372_RS0100125
NZ_ARQK01000009.1	402	674		plus	hypothetical protein		0	protein-coding		WP_019624932.1	90	G372_RS0100130
NZ_ARQK01000009.1	733	1614		minus	nucleotidyl transferase AbiEii/AbiGii toxin family protein		0	protein-coding		WP_019624931.1	293	G372_RS0100135
NZ_ARQK01000009.1	1607	2527		minus	hypothetical protein		0	protein-coding		WP_019624930.1	306	G372_RS0100140
NZ_ARQK01000009.1	2639	3526		minus	RepB family plasmid replication initiator protein		0	protein-coding		WP_244263173.1	295	G372_RS0100145
NZ_ARQK01000010.1	1	1608		plus	type I secretion C-terminal target domain-containing protein		0	protein-coding		WP_156824350.1	535	G372_RS13620
NZ_ARQK01000010.1	1733	2062		plus	hypothetical protein		0	protein-coding		WP_019624189.1	109	G372_RS0100155
NZ_ARQK01000010.1	2206	4209		plus	retention module-containing protein		0	protein-coding		WP_156824351.1	668	G372_RS0100160
NZ_ARQK01000011.1	244	1386		plus	UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)	wecB	0	protein-coding		WP_019623903.1	380	G372_RS0100165
NZ_ARQK01000011.1	1443	2390		plus	polysaccharide deacetylase family protein		0	protein-coding		WP_019623904.1	315	G372_RS0100170
NZ_ARQK01000011.1	2404	3399		plus	polysaccharide deacetylase family protein		0	protein-coding		WP_019623905.1	331	G372_RS0100175
NZ_ARQK01000011.1	3396	4394		plus	GNAT family N-acetyltransferase		0	protein-coding		WP_038070481.1	332	G372_RS0100180
NZ_ARQK01000012.1	135	797		minus	histidine phosphatase family protein		0	protein-coding		WP_038070600.1	220	G372_RS0100185
NZ_ARQK01000012.1	867	1460		minus	histidine phosphatase family protein		0	protein-coding		WP_019624527.1	197	G372_RS0100190
NZ_ARQK01000012.1	1603	2445		plus	proteasome-type protease		0	protein-coding		WP_019624528.1	280	G372_RS0100195
NZ_ARQK01000012.1	2538	3485		minus	alpha-E domain-containing protein		0	protein-coding		WP_019624529.1	315	G372_RS0100200
NZ_ARQK01000012.1	3487	4935		minus	circularly permuted type 2 ATP-grasp protein		0	protein-coding		WP_019624530.1	482	G372_RS0100205
NZ_ARQK01000012.1	5059	5337		plus	hypothetical protein		0	protein-coding		WP_018865214.1	92	G372_RS0100210
NZ_ARQK01000013.1	158	952		minus	TSUP family transporter		0	protein-coding		WP_019624628.1	264	G372_RS0100215
NZ_ARQK01000013.1	1334	2611		minus	glutamate-1-semialdehyde 2,1-aminomutase	hemL	0	protein-coding		WP_019624627.1	425	G372_RS0100220
NZ_ARQK01000013.1	2693	3337		minus	thiamine phosphate synthase	thiE	0	protein-coding		WP_026340430.1	214	G372_RS0100225
NZ_ARQK01000013.1	3327	4115		minus	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	thiD	0	protein-coding		WP_019624625.1	262	G372_RS0100230
NZ_ARQK01000013.1	4200	4646		plus	hypothetical protein		0	protein-coding		WP_019624624.1	148	G372_RS0100235
NZ_ARQK01000013.1	4639	5325		minus	HAD family phosphatase		0	protein-coding		WP_019624623.1	228	G372_RS0100240
NZ_ARQK01000014.1	1	354		plus	uncharacterized gene		0	pseudogene				G372_RS13425
NZ_ARQK01000014.1	524	2185		minus	hypothetical protein		0	protein-coding		WP_019623738.1	553	G372_RS0100250
NZ_ARQK01000014.1	2230	3432		minus	PilX N-terminal domain-containing pilus assembly protein		0	protein-coding		WP_019623737.1	400	G372_RS0100255
NZ_ARQK01000014.1	3432	4304		minus	prepilin-type N-terminal cleavage/methylation domain-containing protein		0	protein-coding		WP_019623736.1	290	G372_RS0100260
NZ_ARQK01000014.1	4298	4846		minus	GspH/FimT family pseudopilin		0	protein-coding		WP_019623735.1	182	G372_RS0100265
NZ_ARQK01000014.1	5037	5459		plus	type IV pilin protein		0	protein-coding		WP_019623734.1	140	G372_RS0100270
NZ_ARQK01000014.1	5471	5992		minus	GspH/FimT family pseudopilin		0	protein-coding		WP_019623733.1	173	G372_RS0100275
NZ_ARQK01000014.1	6143	7009		plus	formylglycine-generating enzyme family protein		0	protein-coding		WP_019623732.1	288	G372_RS0100280
NZ_ARQK01000015.1	1	323		plus	type I secretion C-terminal target domain-containing protein		0	protein-coding		WP_038095562.1	106	G372_RS13430
NZ_ARQK01000015.1	391	2298		minus	LapD/MoxY N-terminal periplasmic domain-containing protein		0	protein-coding		WP_019624191.1	635	G372_RS0100290
NZ_ARQK01000015.1	2320	2985		minus	transglutaminase-like cysteine peptidase		0	protein-coding		WP_026278995.1	221	G372_RS0100295
NZ_ARQK01000015.1	3389	4777		plus	TolC family outer membrane protein		0	protein-coding		WP_018864241.1	462	G372_RS0100300
NZ_ARQK01000015.1	4848	4923		minus	tRNA-Thr		0	tRNA				G372_RS0100305
NZ_ARQK01000015.1	4968	5052		minus	tRNA-Leu		0	tRNA				G372_RS0100310
NZ_ARQK01000015.1	5154	6221		plus	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	queA	0	protein-coding		WP_019624192.1	355	G372_RS0100315
NZ_ARQK01000015.1	6211	7326		plus	tRNA guanosine(34) transglycosylase Tgt	tgt	0	protein-coding		WP_018864243.1	371	G372_RS0100320
NZ_ARQK01000015.1	7425	7754		plus	preprotein translocase subunit YajC	yajC	0	protein-coding		WP_018864244.1	109	G372_RS0100325
NZ_ARQK01000016.1	218	1453		plus	O-succinylhomoserine sulfhydrylase		0	protein-coding		WP_019624671.1	411	G372_RS0100330
NZ_ARQK01000016.1	1481	2953		plus	cardiolipin synthase	cls	0	protein-coding		WP_019624670.1	490	G372_RS0100335
NZ_ARQK01000016.1	3050	3418		plus	hypothetical protein		0	protein-coding		WP_018863649.1	122	G372_RS0100340
NZ_ARQK01000016.1	3527	3670		plus	hypothetical protein		0	protein-coding		WP_018863650.1	47	G372_RS14245
NZ_ARQK01000016.1	3683	6196		plus	heavy metal translocating P-type ATPase		0	protein-coding		WP_019624669.1	837	G372_RS0100350
NZ_ARQK01000016.1	6193	7779		plus	multicopper oxidase domain-containing protein		0	protein-coding		WP_019624668.1	528	G372_RS0100355
NZ_ARQK01000016.1	7808	8644		plus	ferritin-like domain-containing protein		0	protein-coding		WP_019624667.1	278	G372_RS0100360
NZ_ARQK01000017.1	1	429		plus	SPOR domain-containing protein		0	protein-coding		WP_038095563.1	142	G372_RS13435
NZ_ARQK01000017.1	591	5054		plus	glutamate synthase large subunit	gltB	0	protein-coding		WP_019624846.1	1487	G372_RS0100370
NZ_ARQK01000017.1	5490	7274		plus	DNA primase	dnaG	0	protein-coding		WP_019624845.1	594	G372_RS0100375
NZ_ARQK01000017.1	7243	9363		plus	RNA polymerase sigma factor RpoD	rpoD	0	protein-coding		WP_279625226.1	706	G372_RS0100380
NZ_ARQK01000017.1	9468	9544		plus	tRNA-Ile		0	tRNA				G372_RS0100385
NZ_ARQK01000018.1	359	784		minus	ferric iron uptake transcriptional regulator	fur	0	protein-coding		WP_018864820.1	141	G372_RS0100390
NZ_ARQK01000018.1	885	1247		plus	outer membrane protein assembly factor BamE		0	protein-coding		WP_018864819.1	120	G372_RS0100395
NZ_ARQK01000018.1	1263	1697		minus	RnfH family protein		0	protein-coding		WP_019624729.1	144	G372_RS0100400
NZ_ARQK01000018.1	1687	2127		minus	type II toxin-antitoxin system RatA family toxin		0	protein-coding		WP_018864817.1	146	G372_RS0100405
NZ_ARQK01000018.1	2127	3485		minus	sodium-dependent transporter		0	protein-coding		WP_019624730.1	452	G372_RS0100410
NZ_ARQK01000018.1	3701	4180		plus	SsrA-binding protein SmpB	smpB	0	protein-coding		WP_019624731.1	159	G372_RS0100415
NZ_ARQK01000018.1	4269	4571		minus	hypothetical protein		0	protein-coding		WP_018864814.1	100	G372_RS0100420
NZ_ARQK01000018.1	4575	4988		minus	hypothetical protein		0	protein-coding		WP_019624732.1	137	G372_RS0100425
NZ_ARQK01000018.1	4992	5300		minus	DUF883 family protein		0	protein-coding		WP_020008802.1	102	G372_RS0100430
NZ_ARQK01000018.1	5316	6536		minus	AI-2E family transporter		0	protein-coding		WP_026340443.1	406	G372_RS0100435
NZ_ARQK01000018.1	6674	6895		minus	hypothetical protein		0	protein-coding		WP_018864810.1	73	G372_RS0100440
NZ_ARQK01000018.1	7498	10023		minus	ATP-dependent helicase HrpB	hrpB	0	protein-coding		WP_019624735.1	841	G372_RS0100445
NZ_ARQK01000018.1	10033	11226		minus	HlyD family efflux transporter periplasmic adaptor subunit		0	protein-coding		WP_026340444.1	397	G372_RS0100450
NZ_ARQK01000019.1	302	1399		minus	histidinol-phosphate transaminase	hisC	0	protein-coding		WP_019624685.1	365	G372_RS0100455
NZ_ARQK01000019.1	1396	2700		minus	histidinol dehydrogenase	hisD	0	protein-coding		WP_019624686.1	434	G372_RS0100460
NZ_ARQK01000019.1	2715	3782		minus	3-deoxy-7-phosphoheptulonate synthase		0	protein-coding		WP_019624687.1	355	G372_RS0100465
NZ_ARQK01000019.1	3793	4443		minus	ATP phosphoribosyltransferase	hisG	0	protein-coding		WP_018865417.1	216	G372_RS0100470
NZ_ARQK01000019.1	4776	6035		minus	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	murA	0	protein-coding		WP_019624688.1	419	G372_RS0100475
NZ_ARQK01000019.1	6125	6451		minus	STAS domain-containing protein		0	protein-coding		WP_018865419.1	108	G372_RS0100480
